SITE_ID,Area_m2,IsoperimetricInequality(Q),SECTION,PATCH,PLOT,Aggregated MgC/Ha
FLS,1535.65,0.093152178,Edge,1,1,274.4830315
FLS,1535.65,0.093152178,Inner,1,1,280.4566147
FLS,1535.65,0.093152178,Edge,1,2,269.0002586
FLS,1535.65,0.093152178,Inner,1,2,363.442861
FLS,1535.65,0.093152178,Edge,1,3,239.5550025
FLS,1535.65,0.093152178,Inner,1,3,308.3131965
FLS,4407.63,0.099900792,Edge,2,1,230.3512325
FLS,4407.63,0.099900792,Inner,2,1,247.8183971
FLS,4407.63,0.099900792,Edge,2,2,255.629292
FLS,4407.63,0.099900792,Inner,2,2,241.7694326
FLS,4407.63,0.099900792,Edge,2,3,272.972816
FLS,4407.63,0.099900792,Inner,2,3,227.6409312
FLS,1917.08,0.097635852,Edge,3,1,363.3933181
FLS,1917.08,0.097635852,Inner,3,1,370.4811008
FLS,1917.08,0.097635852,Edge,3,2,298.9230055
FLS,1917.08,0.097635852,Inner,3,2,339.2968999
FLS,1917.08,0.097635852,Edge,3,3,325.3958541
FLS,1917.08,0.097635852,Inner,3,3,345.7524116
GNP,2654.49,0.088837426,Edge,1,1,198.2435938
GNP,2654.49,0.088837426,Inner,1,1,192.8382244
GNP,2654.49,0.088837426,Edge,1,2,205.376192
GNP,2654.49,0.088837426,Inner,1,2,167.0199884
GNP,2654.49,0.088837426,Edge,1,3,213.944596
GNP,2654.49,0.088837426,Inner,1,3,203.3663254
GNP,14652.67,0.093492348,Edge,2,1,461.101708
GNP,14652.67,0.093492348,Inner,2,1,152.6645809
GNP,14652.67,0.093492348,Edge,2,2,218.5822919
GNP,14652.67,0.093492348,Inner,2,2,228.2252192
GNP,14652.67,0.093492348,Edge,2,3,241.0466973
GNP,14652.67,0.093492348,Inner,2,3,178.4549476
GNP,3676.29,0.15382496,Edge,3,1,173.3364144
GNP,3676.29,0.15382496,Inner,3,1,147.7534783
GNP,3676.29,0.15382496,Edge,3,2,230.1768769
GNP,3676.29,0.15382496,Inner,3,2,169.7196306
GNP,3676.29,0.15382496,Edge,3,3,166.1289268
GNP,3676.29,0.15382496,Inner,3,3,132.7021223
MAC,757.17,0.197737203,Edge,1,1,159.983678
MAC,757.17,0.197737203,Inner,1,1,332.9179937
MAC,757.17,0.197737203,Edge,1,2,215.076963
MAC,757.17,0.197737203,Inner,1,2,266.6438756
MAC,757.17,0.197737203,Edge,1,3,207.7729294
MAC,757.17,0.197737203,Inner,1,3,276.3231305
MAC,5183.96,0.135860956,Edge,2,1,159.771957
MAC,5183.96,0.135860956,Inner,2,1,166.0471486
MAC,5183.96,0.135860956,Edge,2,2,122.3764055
MAC,5183.96,0.135860956,Inner,2,2,182.8634851
MAC,5183.96,0.135860956,Edge,2,3,197.9845222
MAC,5183.96,0.135860956,Inner,2,3,196.503954
MAC,15579.14,0.116296164,Edge,3,1,93.252502
MAC,15579.14,0.116296164,Inner,3,1,117.2596194
MAC,15579.14,0.116296164,Edge,3,2,110.991298
MAC,15579.14,0.116296164,Inner,3,2,141.2505177
MAC,15579.14,0.116296164,Edge,3,3,215.0800348
MAC,15579.14,0.116296164,Inner,3,3,233.1666627
RGI,1203.25,0.305124018,Edge,1,1,165.951625
RGI,1203.25,0.305124018,Inner,1,1,182.8050743
RGI,1203.25,0.305124018,Edge,1,2,220.8830615
RGI,1203.25,0.305124018,Inner,1,2,142.3950815
RGI,1203.25,0.305124018,Edge,1,3,176.7715005
RGI,1203.25,0.305124018,Inner,1,3,177.3112899
RGI,9647.35,0.170399502,Edge,2,1,241.9618034
RGI,9647.35,0.170399502,Inner,2,1,194.1930372
RGI,9647.35,0.170399502,Edge,2,2,182.6675463
RGI,9647.35,0.170399502,Inner,2,2,202.8436003
RGI,9647.35,0.170399502,Edge,2,3,222.0311305
RGI,9647.35,0.170399502,Inner,2,3,267.7720136
RGI,17089.91,0.130284877,Edge,3,1,254.8113883
RGI,17089.91,0.130284877,Inner,3,1,242.1707023
RGI,17089.91,0.130284877,Edge,3,2,274.357472
RGI,17089.91,0.130284877,Inner,3,2,241.3638413
RGI,17089.91,0.130284877,Edge,3,3,259.9077885
RGI,17089.91,0.130284877,Inner,3,3,266.8592725
